sh	depth	sourceId	sourceTerm	typeTerm	relationshipGroup	destinationTerm	pattern
PR	4	17596000	Incision and drainage of supramylohyoid space by intraoral approach (procedure)	Method (attribute)	2	Drainage - action (qualifier value)	['116680003-PR', '260686004-QV', '363701004-SU', '405814001-BS', '424876005-QV']
PR	4	17596000	Incision and drainage of supramylohyoid space by intraoral approach (procedure)	Procedure site - Indirect (attribute)	2	Sublingual space (body structure)	['116680003-PR', '260686004-QV', '363701004-SU', '405814001-BS', '424876005-QV']
PR	4	17596000	Incision and drainage of supramylohyoid space by intraoral approach (procedure)	Surgical approach (attribute)	2	Transoral approach (qualifier value)	['116680003-PR', '260686004-QV', '363701004-SU', '405814001-BS', '424876005-QV']
PR	4	180433003	Application of caustic to lesion (procedure)	Is a (attribute)	0	Application of therapeutic agent (procedure)	['116680003-PR', '260686004-QV', '363700003-BS', '363701004-SU']
PR	4	180433003	Application of caustic to lesion (procedure)	Direct morphology (attribute)	1	Lesion (morphologic abnormality)	['116680003-PR', '260686004-QV', '363700003-BS', '363701004-SU']
PR	4	180433003	Application of caustic to lesion (procedure)	Direct substance (attribute)	1	Caustic (substance)	['116680003-PR', '260686004-QV', '363700003-BS', '363701004-SU']
PR	4	180433003	Application of caustic to lesion (procedure)	Method (attribute)	1	Application - action (qualifier value)	['116680003-PR', '260686004-QV', '363700003-BS', '363701004-SU']
PR	4	225156008	Milking chest drain (procedure)	Indirect device (attribute)	0	Chest drain (physical object)	['116680003-PR', '363710007-PO']
PR	4	225156008	Milking chest drain (procedure)	Is a (attribute)	0	Milking drain (procedure)	['116680003-PR', '363710007-PO']
PR	4	225174004	Emptying colostomy bag (procedure)	Is a (attribute)	0	Emptying stoma bag (procedure)	['116680003-PR', '260686004-QV', '363699004-PO', '363701004-SU']
PR	4	225174004	Emptying colostomy bag (procedure)	Direct device (attribute)	1	Colostomy bag (physical object)	['116680003-PR', '260686004-QV', '363699004-PO', '363701004-SU']
PR	4	225174004	Emptying colostomy bag (procedure)	Direct substance (attribute)	1	Feces (substance)	['116680003-PR', '260686004-QV', '363699004-PO', '363701004-SU']
PR	4	225174004	Emptying colostomy bag (procedure)	Method (attribute)	1	Drainage - action (qualifier value)	['116680003-PR', '260686004-QV', '363699004-PO', '363701004-SU']
PR	4	233482004	Procedure on intraluminal device of arteriovenous fistula (procedure)	Is a (attribute)	0	Procedure on blood vessel (procedure)	['116680003-PR', '363709002-BS', '405814001-BS', '405815000-PO']
PR	4	233482004	Procedure on intraluminal device of arteriovenous fistula (procedure)	Indirect morphology (attribute)	1	Arteriovenous fistula (morphologic abnormality)	['116680003-PR', '363709002-BS', '405814001-BS', '405815000-PO']
PR	4	233482004	Procedure on intraluminal device of arteriovenous fistula (procedure)	Procedure device (attribute)	1	Intraluminal vascular device (physical object)	['116680003-PR', '363709002-BS', '405814001-BS', '405815000-PO']
PR	4	233482004	Procedure on intraluminal device of arteriovenous fistula (procedure)	Procedure site - Indirect (attribute)	1	Blood vessel structure (body structure)	['116680003-PR', '363709002-BS', '405814001-BS', '405815000-PO']
PR	4	238165008	Abdominal wall hernia procedure (procedure)	Is a (attribute)	0	Abdominal wall procedure (procedure)	['116680003-PR', '405813007-BS', '405816004-BS']
PR	4	238165008	Abdominal wall hernia procedure (procedure)	Procedure morphology (attribute)	1	Hernial opening (morphologic abnormality)	['116680003-PR', '405813007-BS', '405816004-BS']
PR	4	238165008	Abdominal wall hernia procedure (procedure)	Procedure site - Direct (attribute)	1	Abdominal wall structure (body structure)	['116680003-PR', '405813007-BS', '405816004-BS']
PR	4	241023006	Percutaneous evacuation of wound seroma (procedure)	Is a (attribute)	0	Evacuation procedure (procedure)	['116680003-PR', '260507000-QV', '260686004-QV', '363700003-BS', '363701004-SU']
PR	4	241023006	Percutaneous evacuation of wound seroma (procedure)	Access (attribute)	1	Percutaneous approach - access (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363700003-BS', '363701004-SU']
PR	4	241023006	Percutaneous evacuation of wound seroma (procedure)	Direct morphology (attribute)	1	Seroma (morphologic abnormality)	['116680003-PR', '260507000-QV', '260686004-QV', '363700003-BS', '363701004-SU']
PR	4	241023006	Percutaneous evacuation of wound seroma (procedure)	Direct substance (attribute)	1	Substance (substance)	['116680003-PR', '260507000-QV', '260686004-QV', '363700003-BS', '363701004-SU']
PR	4	241023006	Percutaneous evacuation of wound seroma (procedure)	Method (attribute)	1	Evacuation - action (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363700003-BS', '363701004-SU']
PR	4	241024000	Percutaneous evacuation of wound abscess (procedure)	Is a (attribute)	0	Evacuation procedure (procedure)	['116680003-PR', '260507000-QV', '260686004-QV', '363701004-SU', '363709002-BS']
PR	4	241024000	Percutaneous evacuation of wound abscess (procedure)	Access (attribute)	1	Percutaneous approach - access (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363701004-SU', '363709002-BS']
PR	4	241024000	Percutaneous evacuation of wound abscess (procedure)	Direct substance (attribute)	1	Substance (substance)	['116680003-PR', '260507000-QV', '260686004-QV', '363701004-SU', '363709002-BS']
PR	4	241024000	Percutaneous evacuation of wound abscess (procedure)	Indirect morphology (attribute)	1	Abscess of wound (morphologic abnormality)	['116680003-PR', '260507000-QV', '260686004-QV', '363701004-SU', '363709002-BS']
PR	4	241024000	Percutaneous evacuation of wound abscess (procedure)	Method (attribute)	1	Evacuation - action (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363701004-SU', '363709002-BS']
PR	4	274387006	Diagnostic aspiration of breast (procedure)	Has intent (attribute)	0	Diagnostic intent (qualifier value)	['116680003-PR', '260686004-QV', '363703001-QV', '405814001-BS']
PR	4	274387006	Diagnostic aspiration of breast (procedure)	Is a (attribute)	0	Aspiration of breast (procedure)	['116680003-PR', '260686004-QV', '363703001-QV', '405814001-BS']
PR	4	274387006	Diagnostic aspiration of breast (procedure)	Method (attribute)	1	Aspiration - action (qualifier value)	['116680003-PR', '260686004-QV', '363703001-QV', '405814001-BS']
PR	4	274387006	Diagnostic aspiration of breast (procedure)	Procedure site - Indirect (attribute)	1	Breast structure (body structure)	['116680003-PR', '260686004-QV', '363703001-QV', '405814001-BS']
PR	4	275065001	Percutaneous transluminal dilation of artery using Grunzig catheter (procedure)	Is a (attribute)	0	Procedure on artery (procedure)	['116680003-PR', '260507000-QV', '260686004-QV', '405813007-BS', '424226004-PO', '424876005-QV']
PR	4	275065001	Percutaneous transluminal dilation of artery using Grunzig catheter (procedure)	Access (attribute)	1	Percutaneous approach - access (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '405813007-BS', '424226004-PO', '424876005-QV']
PR	4	275065001	Percutaneous transluminal dilation of artery using Grunzig catheter (procedure)	Method (attribute)	1	Dilation - action (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '405813007-BS', '424226004-PO', '424876005-QV']
PR	4	275065001	Percutaneous transluminal dilation of artery using Grunzig catheter (procedure)	Procedure site - Direct (attribute)	1	Arterial structure (body structure)	['116680003-PR', '260507000-QV', '260686004-QV', '405813007-BS', '424226004-PO', '424876005-QV']
PR	4	275065001	Percutaneous transluminal dilation of artery using Grunzig catheter (procedure)	Surgical approach (attribute)	1	Transarterial approach (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '405813007-BS', '424226004-PO', '424876005-QV']
PR	4	275065001	Percutaneous transluminal dilation of artery using Grunzig catheter (procedure)	Using device (attribute)	1	Arterial catheter (physical object)	['116680003-PR', '260507000-QV', '260686004-QV', '405813007-BS', '424226004-PO', '424876005-QV']
PR	4	28309003	Endoscopy and catheterization (procedure)	Is a (attribute)	0	Endoscopy (procedure)	['116680003-PR', '260686004-QV', '363699004-PO', '424226004-PO', '425391005-PO']
PR	4	28309003	Endoscopy and catheterization (procedure)	Is a (attribute)	0	Catheterization (procedure)	['116680003-PR', '260686004-QV', '363699004-PO', '424226004-PO', '425391005-PO']
PR	4	28309003	Endoscopy and catheterization (procedure)	Direct device (attribute)	1	Catheter, device (physical object)	['116680003-PR', '260686004-QV', '363699004-PO', '424226004-PO', '425391005-PO']
PR	4	28309003	Endoscopy and catheterization (procedure)	Method (attribute)	1	Insertion - action (qualifier value)	['116680003-PR', '260686004-QV', '363699004-PO', '424226004-PO', '425391005-PO']
PR	4	28309003	Endoscopy and catheterization (procedure)	Using access device (attribute)	1	Endoscope, device (physical object)	['116680003-PR', '260686004-QV', '363699004-PO', '424226004-PO', '425391005-PO']
PR	4	28309003	Endoscopy and catheterization (procedure)	Method (attribute)	2	Inspection - action (qualifier value)	['116680003-PR', '260686004-QV', '363699004-PO', '424226004-PO', '425391005-PO']
PR	4	28309003	Endoscopy and catheterization (procedure)	Using device (attribute)	2	Endoscope, device (physical object)	['116680003-PR', '260686004-QV', '363699004-PO', '424226004-PO', '425391005-PO']
PR	4	359776002	Glucose measurement by monitoring device (procedure)	Component (attribute)	0	Glucose (substance)	['116680003-PR', '246093002-SU', '260686004-QV', '424226004-PO']
PR	4	359776002	Glucose measurement by monitoring device (procedure)	Is a (attribute)	0	Measurement of substance (procedure)	['116680003-PR', '246093002-SU', '260686004-QV', '424226004-PO']
PR	4	359776002	Glucose measurement by monitoring device (procedure)	Method (attribute)	1	Measurement - action (qualifier value)	['116680003-PR', '246093002-SU', '260686004-QV', '424226004-PO']
PR	4	359776002	Glucose measurement by monitoring device (procedure)	Using device (attribute)	1	Clinical equipment and/or device (physical object)	['116680003-PR', '246093002-SU', '260686004-QV', '424226004-PO']
PR	4	359881002	Amniotic fluid analysis for erythroblastosis fetalis (procedure)	Has focus (attribute)	0	Hemolytic disease of fetus OR newborn due to isoimmunization (disorder)	['116680003-PR', '116686009-SN', '363702006-CF']
PR	4	359881002	Amniotic fluid analysis for erythroblastosis fetalis (procedure)	Has specimen (attribute)	0	Amniotic fluid specimen (specimen)	['116680003-PR', '116686009-SN', '363702006-CF']
PR	4	359881002	Amniotic fluid analysis for erythroblastosis fetalis (procedure)	Is a (attribute)	0	Measurement of substance (procedure)	['116680003-PR', '116686009-SN', '363702006-CF']
PR	4	370849003	Provides status reports to family/support person (procedure)	Has focus (attribute)	0	Patient status determination (procedure)	['116680003-PR', '363702006-PR', '370131001-SO']
PR	4	370849003	Provides status reports to family/support person (procedure)	Is a (attribute)	0	Informing (procedure)	['116680003-PR', '363702006-PR', '370131001-SO']
PR	4	370849003	Provides status reports to family/support person (procedure)	Recipient category (attribute)	0	Family (social concept)	['116680003-PR', '363702006-PR', '370131001-SO']
PR	4	425721004	Endoscopic osteochondral autograft (procedure)	Is a (attribute)	0	Grafting of cartilage (procedure)	['116680003-PR', '260686004-QV', '363701004-SU', '405813007-BS', '425391005-PO']
PR	4	425721004	Endoscopic osteochondral autograft (procedure)	Direct substance (attribute)	1	Autograft (substance)	['116680003-PR', '260686004-QV', '363701004-SU', '405813007-BS', '425391005-PO']
PR	4	425721004	Endoscopic osteochondral autograft (procedure)	Method (attribute)	1	Grafting - action (qualifier value)	['116680003-PR', '260686004-QV', '363701004-SU', '405813007-BS', '425391005-PO']
PR	4	425721004	Endoscopic osteochondral autograft (procedure)	Procedure site - Direct (attribute)	1	Cartilaginous tissue structure (body structure)	['116680003-PR', '260686004-QV', '363701004-SU', '405813007-BS', '425391005-PO']
PR	4	425721004	Endoscopic osteochondral autograft (procedure)	Using access device (attribute)	1	Endoscope, device (physical object)	['116680003-PR', '260686004-QV', '363701004-SU', '405813007-BS', '425391005-PO']
PR	4	425939004	Endoscopic serial drainage of amniotic fluid (procedure)	Has intent (attribute)	0	Therapeutic intent (qualifier value)	['116680003-PR', '260686004-QV', '363701004-SU', '363703001-QV', '405814001-BS', '425391005-PO']
PR	4	425939004	Endoscopic serial drainage of amniotic fluid (procedure)	Is a (attribute)	0	Therapeutic drainage of amniotic fluid (procedure)	['116680003-PR', '260686004-QV', '363701004-SU', '363703001-QV', '405814001-BS', '425391005-PO']
PR	4	425939004	Endoscopic serial drainage of amniotic fluid (procedure)	Direct substance (attribute)	1	Amniotic fluid (substance)	['116680003-PR', '260686004-QV', '363701004-SU', '363703001-QV', '405814001-BS', '425391005-PO']
PR	4	425939004	Endoscopic serial drainage of amniotic fluid (procedure)	Method (attribute)	1	Drainage - action (qualifier value)	['116680003-PR', '260686004-QV', '363701004-SU', '363703001-QV', '405814001-BS', '425391005-PO']
PR	4	425939004	Endoscopic serial drainage of amniotic fluid (procedure)	Procedure site - Indirect (attribute)	1	Structure of amniotic cavity (body structure)	['116680003-PR', '260686004-QV', '363701004-SU', '363703001-QV', '405814001-BS', '425391005-PO']
PR	4	425939004	Endoscopic serial drainage of amniotic fluid (procedure)	Using access device (attribute)	1	Endoscope, device (physical object)	['116680003-PR', '260686004-QV', '363701004-SU', '363703001-QV', '405814001-BS', '425391005-PO']
PR	4	428626000	Securing endotracheal tube using tape (procedure)	Direct device (attribute)	0	Endotracheal tube, device (physical object)	['116680003-PR', '363699004-PO', '424226004-PO']
PR	4	428626000	Securing endotracheal tube using tape (procedure)	Is a (attribute)	0	Securing of medical device tubing (procedure)	['116680003-PR', '363699004-PO', '424226004-PO']
PR	4	428626000	Securing endotracheal tube using tape (procedure)	Using device (attribute)	0	Adhesive tape, device (physical object)	['116680003-PR', '363699004-PO', '424226004-PO']
PR	4	429092001	Percutaneous transhepatic sampling of portal venous blood (procedure)	Is a (attribute)	0	Portal venous sampling catheter (procedure)	['116680003-PR', '260507000-QV', '260686004-QV', '363701004-SU', '405814001-BS', '424226004-PO']
PR	4	429092001	Percutaneous transhepatic sampling of portal venous blood (procedure)	Access (attribute)	1	Percutaneous approach - access (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363701004-SU', '405814001-BS', '424226004-PO']
PR	4	429092001	Percutaneous transhepatic sampling of portal venous blood (procedure)	Direct substance (attribute)	1	Blood (substance)	['116680003-PR', '260507000-QV', '260686004-QV', '363701004-SU', '405814001-BS', '424226004-PO']
PR	4	429092001	Percutaneous transhepatic sampling of portal venous blood (procedure)	Method (attribute)	1	Sampling - action (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363701004-SU', '405814001-BS', '424226004-PO']
PR	4	429092001	Percutaneous transhepatic sampling of portal venous blood (procedure)	Procedure site - Indirect (attribute)	1	Portal vein structure (body structure)	['116680003-PR', '260507000-QV', '260686004-QV', '363701004-SU', '405814001-BS', '424226004-PO']
PR	4	429092001	Percutaneous transhepatic sampling of portal venous blood (procedure)	Using device (attribute)	1	Venous catheter (physical object)	['116680003-PR', '260507000-QV', '260686004-QV', '363701004-SU', '405814001-BS', '424226004-PO']
PR	4	438629002	High dose rate electronic brachytherapy (procedure)	Has intent (attribute)	0	Therapeutic intent (qualifier value)	['116680003-PR', '260686004-QV', '363703001-QV', '424244007-PF']
PR	4	438629002	High dose rate electronic brachytherapy (procedure)	Is a (attribute)	0	Radiation oncology AND/OR radiotherapy (procedure)	['116680003-PR', '260686004-QV', '363703001-QV', '424244007-PF']
PR	4	438629002	High dose rate electronic brachytherapy (procedure)	Method (attribute)	1	Brachytherapy - action (qualifier value)	['116680003-PR', '260686004-QV', '363703001-QV', '424244007-PF']
PR	4	438629002	High dose rate electronic brachytherapy (procedure)	Using energy (attribute)	1	X-ray electromagnetic radiation (physical force)	['116680003-PR', '260686004-QV', '363703001-QV', '424244007-PF']
PR	4	439240009	Replacement of percutaneous tube with imaging guidance using contrast (procedure)	Is a (attribute)	0	Replacement of device (procedure)	['116680003-PR', '260686004-QV', '363699004-PO', '363703001-QV', '424361007-SU']
PR	4	439240009	Replacement of percutaneous tube with imaging guidance using contrast (procedure)	Direct device (attribute)	1	Tube, device (physical object)	['116680003-PR', '260686004-QV', '363699004-PO', '363703001-QV', '424361007-SU']
PR	4	439240009	Replacement of percutaneous tube with imaging guidance using contrast (procedure)	Method (attribute)	1	Replacement - action (qualifier value)	['116680003-PR', '260686004-QV', '363699004-PO', '363703001-QV', '424361007-SU']
PR	4	439240009	Replacement of percutaneous tube with imaging guidance using contrast (procedure)	Has intent (attribute)	2	Guidance intent (qualifier value)	['116680003-PR', '260686004-QV', '363699004-PO', '363703001-QV', '424361007-SU']
PR	4	439240009	Replacement of percutaneous tube with imaging guidance using contrast (procedure)	Method (attribute)	2	Imaging - action (qualifier value)	['116680003-PR', '260686004-QV', '363699004-PO', '363703001-QV', '424361007-SU']
PR	4	439240009	Replacement of percutaneous tube with imaging guidance using contrast (procedure)	Using substance (attribute)	2	Contrast media (substance)	['116680003-PR', '260686004-QV', '363699004-PO', '363703001-QV', '424361007-SU']
PR	4	439309000	Thoracoscopy with partial pulmonary decortication (procedure)	Is a (attribute)	0	Thoracoscopy (procedure)	['116680003-PR', '260686004-QV', '405813007-BS', '405814001-BS', '424226004-PO', '425391005-PO']
PR	4	439309000	Thoracoscopy with partial pulmonary decortication (procedure)	Method (attribute)	1	Inspection - action (qualifier value)	['116680003-PR', '260686004-QV', '405813007-BS', '405814001-BS', '424226004-PO', '425391005-PO']
PR	4	439309000	Thoracoscopy with partial pulmonary decortication (procedure)	Procedure site - Direct (attribute)	1	Thoracic structure (body structure)	['116680003-PR', '260686004-QV', '405813007-BS', '405814001-BS', '424226004-PO', '425391005-PO']
PR	4	439309000	Thoracoscopy with partial pulmonary decortication (procedure)	Using device (attribute)	1	Thoracoscope (physical object)	['116680003-PR', '260686004-QV', '405813007-BS', '405814001-BS', '424226004-PO', '425391005-PO']
PR	4	439309000	Thoracoscopy with partial pulmonary decortication (procedure)	Method (attribute)	2	Decortication - action (qualifier value)	['116680003-PR', '260686004-QV', '405813007-BS', '405814001-BS', '424226004-PO', '425391005-PO']
PR	4	439309000	Thoracoscopy with partial pulmonary decortication (procedure)	Procedure site - Direct (attribute)	2	Pleural sac structure (body structure)	['116680003-PR', '260686004-QV', '405813007-BS', '405814001-BS', '424226004-PO', '425391005-PO']
PR	4	439309000	Thoracoscopy with partial pulmonary decortication (procedure)	Procedure site - Indirect (attribute)	2	Lung structure (body structure)	['116680003-PR', '260686004-QV', '405813007-BS', '405814001-BS', '424226004-PO', '425391005-PO']
PR	4	439309000	Thoracoscopy with partial pulmonary decortication (procedure)	Using access device (attribute)	2	Thoracoscope (physical object)	['116680003-PR', '260686004-QV', '405813007-BS', '405814001-BS', '424226004-PO', '425391005-PO']
PR	4	439533007	Endoscopic balloon dilatation of ostium of paranasal sinus (procedure)	Is a (attribute)	0	Endoscopic dilation (procedure)	['116680003-PR', '260686004-QV', '363704007-BS', '424226004-PO', '425391005-PO']
PR	4	439533007	Endoscopic balloon dilatation of ostium of paranasal sinus (procedure)	Method (attribute)	1	Dilation - action (qualifier value)	['116680003-PR', '260686004-QV', '363704007-BS', '424226004-PO', '425391005-PO']
PR	4	439533007	Endoscopic balloon dilatation of ostium of paranasal sinus (procedure)	Procedure site (attribute)	1	Nasal sinus structure (body structure)	['116680003-PR', '260686004-QV', '363704007-BS', '424226004-PO', '425391005-PO']
PR	4	439533007	Endoscopic balloon dilatation of ostium of paranasal sinus (procedure)	Using access device (attribute)	1	Endoscope, device (physical object)	['116680003-PR', '260686004-QV', '363704007-BS', '424226004-PO', '425391005-PO']
PR	4	439533007	Endoscopic balloon dilatation of ostium of paranasal sinus (procedure)	Using device (attribute)	1	Medical balloon, device (physical object)	['116680003-PR', '260686004-QV', '363704007-BS', '424226004-PO', '425391005-PO']
PR	4	440191006	Cystourethroscopy with irrigation and removal of clot (procedure)	Is a (attribute)	0	Transurethral cystoscopy (procedure)	['116680003-PR', '260686004-QV', '363700003-BS', '405813007-BS', '424226004-PO', '424361007-SU']
PR	4	440191006	Cystourethroscopy with irrigation and removal of clot (procedure)	Method (attribute)	1	Inspection - action (qualifier value)	['116680003-PR', '260686004-QV', '363700003-BS', '405813007-BS', '424226004-PO', '424361007-SU']
PR	4	440191006	Cystourethroscopy with irrigation and removal of clot (procedure)	Procedure site - Direct (attribute)	1	Urinary bladder structure (body structure)	['116680003-PR', '260686004-QV', '363700003-BS', '405813007-BS', '424226004-PO', '424361007-SU']
PR	4	440191006	Cystourethroscopy with irrigation and removal of clot (procedure)	Using device (attribute)	1	Cystoscope, device (physical object)	['116680003-PR', '260686004-QV', '363700003-BS', '405813007-BS', '424226004-PO', '424361007-SU']
PR	4	440191006	Cystourethroscopy with irrigation and removal of clot (procedure)	Direct morphology (attribute)	2	Blood clot (morphologic abnormality)	['116680003-PR', '260686004-QV', '363700003-BS', '405813007-BS', '424226004-PO', '424361007-SU']
PR	4	440191006	Cystourethroscopy with irrigation and removal of clot (procedure)	Method (attribute)	2	Removal - action (qualifier value)	['116680003-PR', '260686004-QV', '363700003-BS', '405813007-BS', '424226004-PO', '424361007-SU']
PR	4	440191006	Cystourethroscopy with irrigation and removal of clot (procedure)	Method (attribute)	3	Inspection - action (qualifier value)	['116680003-PR', '260686004-QV', '363700003-BS', '405813007-BS', '424226004-PO', '424361007-SU']
PR	4	440191006	Cystourethroscopy with irrigation and removal of clot (procedure)	Procedure site - Direct (attribute)	3	Urethral structure (body structure)	['116680003-PR', '260686004-QV', '363700003-BS', '405813007-BS', '424226004-PO', '424361007-SU']
PR	4	440191006	Cystourethroscopy with irrigation and removal of clot (procedure)	Using device (attribute)	3	Cystoscope, device (physical object)	['116680003-PR', '260686004-QV', '363700003-BS', '405813007-BS', '424226004-PO', '424361007-SU']
PR	4	440191006	Cystourethroscopy with irrigation and removal of clot (procedure)	Method (attribute)	4	Irrigation - action (qualifier value)	['116680003-PR', '260686004-QV', '363700003-BS', '405813007-BS', '424226004-PO', '424361007-SU']
PR	4	440191006	Cystourethroscopy with irrigation and removal of clot (procedure)	Procedure site - Direct (attribute)	4	Bladder and outflow structure (body structure)	['116680003-PR', '260686004-QV', '363700003-BS', '405813007-BS', '424226004-PO', '424361007-SU']
PR	4	440191006	Cystourethroscopy with irrigation and removal of clot (procedure)	Using substance (attribute)	4	Irrigating solution (substance)	['116680003-PR', '260686004-QV', '363700003-BS', '405813007-BS', '424226004-PO', '424361007-SU']
PR	4	440649005	Cystourethroscopy with percutaneous insertion of nephrostomy tube (procedure)	Is a (attribute)	0	Transurethral cystoscopy (procedure)	['116680003-PR', '260507000-QV', '260686004-QV', '363699004-PO', '405813007-BS', '405814001-BS', '424226004-PO']
PR	4	440649005	Cystourethroscopy with percutaneous insertion of nephrostomy tube (procedure)	Method (attribute)	1	Inspection - action (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363699004-PO', '405813007-BS', '405814001-BS', '424226004-PO']
PR	4	440649005	Cystourethroscopy with percutaneous insertion of nephrostomy tube (procedure)	Procedure site - Direct (attribute)	1	Urinary bladder structure (body structure)	['116680003-PR', '260507000-QV', '260686004-QV', '363699004-PO', '405813007-BS', '405814001-BS', '424226004-PO']
PR	4	440649005	Cystourethroscopy with percutaneous insertion of nephrostomy tube (procedure)	Using device (attribute)	1	Cystoscope, device (physical object)	['116680003-PR', '260507000-QV', '260686004-QV', '363699004-PO', '405813007-BS', '405814001-BS', '424226004-PO']
PR	4	440649005	Cystourethroscopy with percutaneous insertion of nephrostomy tube (procedure)	Method (attribute)	2	Inspection - action (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363699004-PO', '405813007-BS', '405814001-BS', '424226004-PO']
PR	4	440649005	Cystourethroscopy with percutaneous insertion of nephrostomy tube (procedure)	Procedure site - Direct (attribute)	2	Urethral structure (body structure)	['116680003-PR', '260507000-QV', '260686004-QV', '363699004-PO', '405813007-BS', '405814001-BS', '424226004-PO']
PR	4	440649005	Cystourethroscopy with percutaneous insertion of nephrostomy tube (procedure)	Using device (attribute)	2	Cystoscope, device (physical object)	['116680003-PR', '260507000-QV', '260686004-QV', '363699004-PO', '405813007-BS', '405814001-BS', '424226004-PO']
PR	4	440649005	Cystourethroscopy with percutaneous insertion of nephrostomy tube (procedure)	Access (attribute)	3	Percutaneous approach - access (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363699004-PO', '405813007-BS', '405814001-BS', '424226004-PO']
PR	4	440649005	Cystourethroscopy with percutaneous insertion of nephrostomy tube (procedure)	Direct device (attribute)	3	Nephrostomy tube (physical object)	['116680003-PR', '260507000-QV', '260686004-QV', '363699004-PO', '405813007-BS', '405814001-BS', '424226004-PO']
PR	4	440649005	Cystourethroscopy with percutaneous insertion of nephrostomy tube (procedure)	Method (attribute)	3	Insertion - action (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363699004-PO', '405813007-BS', '405814001-BS', '424226004-PO']
PR	4	440649005	Cystourethroscopy with percutaneous insertion of nephrostomy tube (procedure)	Procedure site - Indirect (attribute)	3	Kidney structure (body structure)	['116680003-PR', '260507000-QV', '260686004-QV', '363699004-PO', '405813007-BS', '405814001-BS', '424226004-PO']
PR	4	442920008	Percutaneous biopsy of muscle using ultrasound guidance (procedure)	Is a (attribute)	0	Biopsy of muscle (procedure)	['116680003-PR', '260507000-QV', '260686004-QV', '363703001-QV', '363704007-BS', '405813007-BS']
PR	4	442920008	Percutaneous biopsy of muscle using ultrasound guidance (procedure)	Is a (attribute)	0	Ultrasonic guidance procedure (procedure)	['116680003-PR', '260507000-QV', '260686004-QV', '363703001-QV', '363704007-BS', '405813007-BS']
PR	4	442920008	Percutaneous biopsy of muscle using ultrasound guidance (procedure)	Has intent (attribute)	1	Guidance intent (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363703001-QV', '363704007-BS', '405813007-BS']
PR	4	442920008	Percutaneous biopsy of muscle using ultrasound guidance (procedure)	Method (attribute)	1	Ultrasound imaging - action (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363703001-QV', '363704007-BS', '405813007-BS']
PR	4	442920008	Percutaneous biopsy of muscle using ultrasound guidance (procedure)	Procedure site - Direct (attribute)	1	Skeletal and/or smooth muscle structure (body structure)	['116680003-PR', '260507000-QV', '260686004-QV', '363703001-QV', '363704007-BS', '405813007-BS']
PR	4	442920008	Percutaneous biopsy of muscle using ultrasound guidance (procedure)	Access (attribute)	2	Percutaneous approach - access (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363703001-QV', '363704007-BS', '405813007-BS']
PR	4	442920008	Percutaneous biopsy of muscle using ultrasound guidance (procedure)	Method (attribute)	2	Biopsy - action (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363703001-QV', '363704007-BS', '405813007-BS']
PR	4	442920008	Percutaneous biopsy of muscle using ultrasound guidance (procedure)	Procedure site (attribute)	2	Skeletal and/or smooth muscle structure (body structure)	['116680003-PR', '260507000-QV', '260686004-QV', '363703001-QV', '363704007-BS', '405813007-BS']
PR	4	443243004	Percutaneous transhepatic insertion of catheter into biliary tract using radiologic guidance with contrast (procedure)	Is a (attribute)	0	Biliary tract implantation (procedure)	['116680003-PR', '260507000-QV', '260686004-QV', '363699004-PO', '363703001-QV', '405813007-BS', '405814001-BS', '424361007-SU']
PR	4	443243004	Percutaneous transhepatic insertion of catheter into biliary tract using radiologic guidance with contrast (procedure)	Access (attribute)	1	Percutaneous approach - access (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363699004-PO', '363703001-QV', '405813007-BS', '405814001-BS', '424361007-SU']
PR	4	443243004	Percutaneous transhepatic insertion of catheter into biliary tract using radiologic guidance with contrast (procedure)	Direct device (attribute)	1	Catheter, device (physical object)	['116680003-PR', '260507000-QV', '260686004-QV', '363699004-PO', '363703001-QV', '405813007-BS', '405814001-BS', '424361007-SU']
PR	4	443243004	Percutaneous transhepatic insertion of catheter into biliary tract using radiologic guidance with contrast (procedure)	Method (attribute)	1	Insertion - action (qualifier value)	['116680003-PR', '260507000-QV', '260686004-QV', '363699004-PO', '363703001-QV', '405813007-BS', '405814001-BS', '424361007-SU']
